Date,BTC,SPY,DJI,IXIC,NYSE,TNX,XAU/USD,VIX,IYR,VNQ,HashDiff,Hashrate,Address,Transaction,GreedIndex
2025-05-08,103241.4609375,561.8367919921875,41368.44921875,17928.140625,19314.1796875,4.373000144958496,3296.60009765625,22.479999542236328,92.66564178466797,86.87853240966797,119116256505723.5,891155834.8398281,592201.0,351472.75,65.0
2025-05-09,102970.8515625,561.1209716796875,41249.37890625,17928.919921875,19319.19921875,4.375,3335.39990234375,21.899999618530273,93.2884292602539,87.45726776123047,119116256505723.5,888195184.2257423,577242.75,334543.0,73.0
2025-05-10,104696.328125,,,,,,,,,,119116256505723.48,885234533.6116564,562284.5,324853.5,70.0
2025-05-11,104106.359375,,,,,,,,,,119116256505723.48,882273882.9975705,547326.25,315164.0,70.0
2025-05-12,102812.953125,579.66455078125,42410.1015625,18708.33984375,19711.55078125,4.456999778747559,3220.0,18.389999389648438,93.57510375976562,87.88886260986328,119116256505723.48,877832907.0764418,532368.0,305474.5,70.0
2025-05-13,104169.8125,583.4925537109375,42140.4296875,19010.08984375,19723.380859375,4.499000072479248,3240.300048828125,18.219999313354492,92.42839813232422,86.7706298828125,119116256505723.48,873391931.1553131,534039.25,295785.0,70.0
2025-05-14,103539.4140625,584.23828125,42051.05859375,19146.810546875,19628.4609375,4.5279998779296875,3181.39990234375,18.6200008392334,91.60791015625,85.91724395751953,119116256505723.48,868950955.2341845,535710.5,294788.0,73.0
2025-05-15,103744.640625,587.0919189453125,42322.75,19112.3203125,19784.689453125,4.454999923706055,3220.699951171875,17.829999923706055,93.21923828125,87.48668670654297,119116256505723.48,864509979.3130558,537381.75,293791.0,70.0
2025-05-16,103489.2890625,590.8106079101562,42654.73828125,19211.099609375,19934.060546875,4.440999984741211,3182.0,17.239999771118164,94.39559173583984,88.57549285888672,119751805072998.75,861563006.7583618,539053.0,292794.0,71.0
2025-05-17,103191.0859375,,,,,,,,,,120387353640274.0,858616034.2036679,538297.25,291797.0,74.0
2025-05-18,106446.0078125,,,,,,,,,,121022902207549.27,855669061.648974,537541.5,324395.5,74.0
